StudentID,Subject,Grade
1,English,89
1,Irish,73
1,French,79
1,German,76
1,History,80
1,Geography,80
1,Maths,93
1,Physics,59
1,Biology,85
1,Chemistry,65
1,Technology,94
1,Computer Science,91
1,Business Studies,97
1,RE,88
1,PE,95
1,Art,81
1,Music,72
1,Home Economics,91
2,English,85
2,Irish,79
2,French,90
2,German,86
2,History,97
2,Geography,75
2,Maths,79
2,Physics,70
2,Biology,85
2,Chemistry,88
2,Technology,78
2,Computer Science,68
2,Business Studies,80
2,RE,94
2,PE,96
2,Art,68
2,Music,82
2,Home Economics,82
3,English,90
3,Irish,70
3,French,95
3,German,64
3,History,88
3,Geography,95
3,Maths,83
3,Physics,81
3,Biology,80
3,Chemistry,84
3,Technology,89
3,Computer Science,92
3,Business Studies,84
3,RE,98
3,PE,79
3,Art,71
3,Music,80
3,Home Economics,91
4,English,80
4,Irish,87
4,French,68
4,German,72
4,History,88
4,Geography,82
4,Maths,77
4,Physics,61
4,Biology,72
4,Chemistry,65
4,Technology,79
4,Computer Science,80
4,Business Studies,98
4,RE,100
4,PE,94
4,Art,96
4,Music,98
4,Home Economics,87
5,English,79
5,Irish,96
5,French,64
5,German,71
5,History,91
5,Geography,98
5,Maths,72
5,Physics,77
5,Biology,65
5,Chemistry,72
5,Technology,70
5,Computer Science,79
5,Business Studies,87
5,RE,96
5,PE,87
5,Art,86
5,Music,78
5,Home Economics,72
6,English,69
6,Irish,62
6,French,86
6,German,99
6,History,91
6,Geography,94
6,Maths,44
6,Physics,69
6,Biology,67
6,Chemistry,80
6,Technology,77
6,Computer Science,81
6,Business Studies,70
6,RE,70
6,PE,100
6,Art,86
6,Music,76
6,Home Economics,89
7,English,90
7,Irish,88
7,French,63
7,German,42
7,History,72
7,Geography,69
7,Maths,98
7,Physics,85
7,Biology,72
7,Chemistry,89
7,Technology,95
7,Computer Science,89
7,Business Studies,72
7,RE,88
7,PE,91
7,Art,77
7,Music,72
7,Home Economics,90
8,English,98
8,Irish,95
8,French,94
8,German,96
8,History,90
8,Geography,91
8,Maths,88
8,Physics,77
8,Biology,72
8,Chemistry,78
8,Technology,87
8,Computer Science,81
8,Business Studies,91
8,RE,84
8,PE,86
8,Art,83
8,Music,79
8,Home Economics,95
9,English,78
9,Irish,68
9,French,65
9,German,60
9,History,84
9,Geography,68
9,Maths,65
9,Physics,66
9,Biology,62
9,Chemistry,61
9,Technology,76
9,Computer Science,67
9,Business Studies,73
9,RE,61
9,PE,71
9,Art,64
9,Music,63
9,Home Economics,59
10,English,94
10,Irish,77
10,French,79
10,German,88
10,History,86
10,Geography,73
10,Maths,71
10,Physics,70
10,Biology,81
10,Chemistry,72
10,Technology,93
10,Computer Science,84
10,Business Studies,98
10,RE,82
10,PE,75
10,Art,61
10,Music,98
10,Home Economics,73
11,English,61
11,Irish,93
11,French,81
11,German,64
11,History,66
11,Geography,89
11,Maths,62
11,Physics,72
11,Biology,70
11,Chemistry,86
11,Technology,63
11,Computer Science,75
11,Business Studies,75
11,RE,68
11,PE,0
11,Art,90
11,Music,69
