StudentsID,ContactID,RelationType
1,1,Parent
2,1,Parent
3,2,Parent
4,3,Grandparent
4,4,Parent
4,5,Aunt
5,6,Parent
5,7,Parent
6,8,Grandparent
7,9,Sibling
8,10,Parent
8,11,Parent
9,12,Parent
10,13,Parent
11,14,Parent
12,15,Parent
13,16,Parent
14,17,Grandparent
15,18,Parent
16,19,Uncle
17,20,Parent
17,21,Parent
18,22,Parent
19,23,Parent
20,24,Parent
21,25,Guardian
22,26,Parent
22,27,Parent
23,28,Parent
24,29,Guardian
25,30,Parent
26,31,Parent
27,32,Parent
28,33,Aunt
29,34,Parent
29,35,Grandparent
30,36,Parent
